,Transaction ID,Item,Quantity,Price Per Unit,Total Spent,Payment Method,Location,Transaction Date
90,TXN_8976658,tea,2.0,1.5,3.0,credit card,in-store,2023-08-16
91,TXN_5455936,unknown,5.0,3.0,15.0,unknown,in-store,2023-10-28
92,TXN_2725602,juice,5.0,3.0,15.0,credit card,unknown,2023-09-10
93,TXN_3011323,coffee,3.0,2.0,6.0,credit card,unknown,2023-03-07
94,TXN_6289610,juice,3.0,3.0,9.0,cash,takeaway,2023-08-07
95,TXN_8268061,salad,3.0,5.0,15.0,unknown,takeaway,2023-08-20
96,TXN_5220895,salad,5.0,5.0,25.0,cash,in-store,2023-06-10
97,TXN_3085509,coffee,4.0,2.0,8.0,digital wallet,in-store,2023-04-15
98,TXN_9999113,juice,4.0,3.0,12.0,cash,takeaway,2023-05-27
99,TXN_8779771,coffee,4.0,2.0,8.0,cash,in-store,2023-07-25
100,TXN_9517146,unknown,5.0,5.0,25.0,cash,takeaway,2023-10-30
101,TXN_1621920,salad,3.0,5.0,15.0,unknown,takeaway,2023-10-28
102,TXN_3808639,juice,2.0,3.0,6.0,digital wallet,takeaway,2023-12-15
105,TXN_6955416,salad,4.0,5.0,20.0,unknown,in-store,2023-02-25
106,TXN_3775339,cookie,3.0,1.0,3.0,credit card,unknown,2023-04-03
107,TXN_9547091,cookie,3.0,1.0,3.0,credit card,unknown,2023-10-08
108,TXN_4358673,cookie,5.0,1.0,5.0,digital wallet,takeaway,2023-12-28
109,TXN_4174591,tea,4.0,1.5,6.0,digital wallet,unknown,2023-08-30
110,TXN_3398520,sandwich,1.0,4.0,4.0,unknown,in-store,2023-02-03
111,TXN_6171384,smoothie,2.0,4.0,8.0,credit card,unknown,2023-09-12
112,TXN_2530938,smoothie,5.0,4.0,20.0,unknown,takeaway,2023-04-27
113,TXN_3314971,juice,3.0,3.0,9.0,digital wallet,unknown,2023-05-04
114,TXN_3092382,coffee,5.0,2.0,10.0,digital wallet,unknown,2023-02-21
116,TXN_1535311,juice,3.0,3.0,9.0,cash,unknown,2023-03-16
117,TXN_2148617,juice,3.0,3.0,9.0,digital wallet,unknown,2023-01-10
118,TXN_4633784,unknown,5.0,3.0,15.0,unknown,in-store,2023-02-06
119,TXN_4368416,salad,2.0,5.0,10.0,credit card,takeaway,2023-02-24
120,TXN_9790731,cake,2.0,3.0,6.0,unknown,unknown,2023-06-02
121,TXN_9339456,coffee,3.0,2.0,6.0,unknown,takeaway,2023-03-29
122,TXN_5179020,cake,2.0,3.0,6.0,unknown,takeaway,2023-06-18
123,TXN_6258471,coffee,5.0,2.0,10.0,digital wallet,in-store,2023-09-23
124,TXN_7945375,juice,3.0,3.0,9.0,unknown,unknown,2023-01-14
125,TXN_4685453,tea,4.0,1.5,6.0,cash,in-store,2023-09-14
126,TXN_9646452,juice,5.0,3.0,15.0,credit card,unknown,2023-09-16
127,TXN_9096052,smoothie,4.0,4.0,16.0,credit card,takeaway,2023-12-28
128,TXN_5916991,juice,2.0,3.0,6.0,digital wallet,takeaway,2023-02-06
129,TXN_3407169,sandwich,2.0,4.0,8.0,cash,in-store,2023-03-11
130,TXN_2277042,tea,1.0,1.5,1.5,cash,unknown,2023-04-08
131,TXN_9273729,tea,1.0,1.5,1.5,unknown,unknown,2023-12-19
132,TXN_2181545,juice,4.0,3.0,12.0,credit card,takeaway,2023-07-14
133,TXN_1150033,juice,5.0,3.0,15.0,cash,in-store,2023-04-18
134,TXN_1443912,juice,2.0,3.0,6.0,unknown,unknown,2023-06-08
135,TXN_8700451,tea,5.0,1.5,7.5,credit card,takeaway,2023-12-12
136,TXN_6380550,coffee,5.0,2.0,10.0,cash,in-store,2023-01-05
137,TXN_4885518,salad,3.0,5.0,15.0,credit card,in-store,2023-06-10
138,TXN_3972167,sandwich,5.0,4.0,20.0,unknown,in-store,2023-01-23
139,TXN_4878378,tea,1.0,1.5,1.5,credit card,unknown,2023-02-20
140,TXN_2484241,cake,3.0,3.0,9.0,digital wallet,unknown,2023-07-19
141,TXN_2368126,cake,5.0,3.0,15.0,unknown,in-store,2023-12-06
143,TXN_8495063,juice,1.0,3.0,3.0,cash,unknown,2023-05-31
144,TXN_4811133,salad,2.0,5.0,10.0,cash,unknown,2023-08-11
145,TXN_8729570,tea,5.0,1.5,7.5,unknown,in-store,2023-09-03
146,TXN_7623634,cake,2.0,3.0,6.0,credit card,in-store,2023-07-11
147,TXN_9336980,salad,4.0,5.0,20.0,cash,in-store,2023-06-06
148,TXN_3424331,cake,4.0,3.0,12.0,unknown,unknown,2023-01-18
149,TXN_5072031,cake,2.0,3.0,6.0,cash,takeaway,2023-03-23
150,TXN_8687151,salad,5.0,5.0,25.0,cash,unknown,2023-06-10
151,TXN_4031509,unknown,4.0,4.0,16.0,credit card,takeaway,2023-01-04
152,TXN_5265095,coffee,1.0,2.0,2.0,unknown,unknown,2023-06-23
153,TXN_6541415,unknown,4.0,3.0,12.0,cash,in-store,2023-11-25
154,TXN_4108138,coffee,5.0,2.0,10.0,cash,unknown,2023-08-03
155,TXN_1909796,smoothie,2.0,4.0,8.0,unknown,takeaway,2023-07-12
156,TXN_1928241,coffee,3.0,2.0,6.0,cash,in-store,2023-04-30
157,TXN_4283157,salad,5.0,5.0,25.0,digital wallet,in-store,2023-11-25
158,TXN_8013032,coffee,2.0,2.0,4.0,credit card,unknown,2023-03-07
159,TXN_8301424,juice,2.0,3.0,6.0,unknown,unknown,2023-06-27
161,TXN_7965998,juice,1.0,3.0,3.0,credit card,in-store,2023-11-02
162,TXN_9238666,cookie,1.0,1.0,1.0,unknown,takeaway,2023-07-31
163,TXN_1631695,tea,2.0,1.5,3.0,unknown,in-store,2023-09-19
164,TXN_1435086,cake,5.0,3.0,15.0,unknown,unknown,2023-02-09
165,TXN_3226832,unknown,5.0,4.0,20.0,cash,unknown,2023-09-04
166,TXN_1648671,sandwich,3.0,4.0,12.0,cash,takeaway,2023-05-21
167,TXN_4062737,cake,3.0,3.0,9.0,cash,in-store,2023-07-02
168,TXN_3494565,unknown,2.0,4.0,8.0,unknown,unknown,2023-07-10
169,TXN_9249507,cookie,4.0,1.0,4.0,credit card,in-store,2023-11-21
170,TXN_4689500,sandwich,4.0,4.0,16.0,unknown,unknown,2023-12-02
171,TXN_8989148,tea,2.0,1.5,3.0,unknown,unknown,2023-11-25
172,TXN_8316826,coffee,3.0,2.0,6.0,unknown,in-store,2023-04-17
173,TXN_9836934,cookie,3.0,1.0,3.0,digital wallet,in-store,2023-03-13
174,TXN_8005489,cake,3.0,3.0,9.0,unknown,in-store,2023-08-12
176,TXN_3925836,cookie,3.0,1.0,3.0,digital wallet,in-store,2023-02-16
177,TXN_1896955,salad,5.0,5.0,25.0,unknown,in-store,2023-09-23
178,TXN_5075974,smoothie,4.0,4.0,16.0,digital wallet,unknown,2023-04-11
179,TXN_3978874,smoothie,5.0,4.0,20.0,credit card,in-store,2023-03-13
180,TXN_8955912,sandwich,1.0,4.0,4.0,unknown,unknown,2023-11-07
181,TXN_1136554,smoothie,3.0,4.0,12.0,unknown,takeaway,2023-03-26
182,TXN_8007337,cake,2.0,3.0,6.0,digital wallet,takeaway,2023-11-01
183,TXN_8129834,salad,1.0,5.0,5.0,cash,unknown,2023-07-22
184,TXN_3831848,unknown,1.0,4.0,4.0,digital wallet,takeaway,2023-11-03
185,TXN_5365809,cake,3.0,3.0,9.0,cash,in-store,2023-09-14
186,TXN_8166407,smoothie,2.0,4.0,8.0,unknown,unknown,2023-07-26
187,TXN_6629480,smoothie,5.0,4.0,20.0,credit card,in-store,2023-02-28
188,TXN_3833797,coffee,4.0,2.0,8.0,unknown,in-store,2023-01-27
189,TXN_2643815,cookie,3.0,1.0,3.0,unknown,unknown,2023-12-06
190,TXN_2996519,cake,5.0,3.0,15.0,cash,unknown,2023-01-19
191,TXN_8810894,smoothie,1.0,4.0,4.0,unknown,unknown,2023-02-20
192,TXN_7412722,juice,4.0,3.0,12.0,cash,in-store,2023-04-07
193,TXN_3937509,smoothie,2.0,4.0,8.0,unknown,in-store,2023-03-20
194,TXN_6000201,cookie,3.0,1.0,3.0,cash,takeaway,2023-02-16
195,TXN_1714274,cookie,4.0,1.0,4.0,unknown,in-store,2023-12-27
196,TXN_3800182,tea,2.0,1.5,3.0,cash,in-store,2023-10-26
197,TXN_5115080,unknown,5.0,3.0,15.0,credit card,unknown,2023-02-18
198,TXN_9788956,juice,4.0,3.0,12.0,unknown,unknown,2023-04-11
199,TXN_6311602,juice,3.0,3.0,9.0,credit card,unknown,2023-05-15
200,TXN_2950680,coffee,2.0,2.0,4.0,credit card,takeaway,2023-12-10
201,TXN_6749847,cake,2.0,3.0,6.0,credit card,unknown,2023-08-15
202,TXN_2143187,smoothie,1.0,4.0,4.0,unknown,in-store,2023-04-21
203,TXN_8964522,unknown,3.0,3.0,9.0,credit card,takeaway,2023-10-28
204,TXN_4088917,coffee,3.0,2.0,6.0,cash,takeaway,2023-02-04
205,TXN_3779366,cookie,1.0,1.0,1.0,digital wallet,in-store,2023-04-15
206,TXN_7724048,smoothie,1.0,4.0,4.0,unknown,in-store,2023-11-12
207,TXN_2698591,tea,5.0,1.5,7.5,unknown,unknown,2023-08-05
208,TXN_3171373,smoothie,3.0,4.0,12.0,credit card,in-store,2023-05-10
210,TXN_6498163,smoothie,5.0,4.0,20.0,unknown,in-store,2023-07-15
211,TXN_6717827,unknown,3.0,5.0,15.0,digital wallet,unknown,2023-11-15
212,TXN_9089898,salad,3.0,5.0,15.0,credit card,unknown,2023-01-11
213,TXN_8587583,cake,1.0,3.0,3.0,unknown,unknown,2023-10-01
214,TXN_8693704,salad,5.0,5.0,25.0,cash,in-store,2023-05-04
215,TXN_3857960,salad,4.0,5.0,20.0,cash,in-store,2023-04-26
216,TXN_3499124,unknown,4.0,4.0,16.0,credit card,unknown,2023-08-25
217,TXN_9250710,salad,1.0,5.0,5.0,cash,in-store,2023-05-28
218,TXN_7058377,juice,1.0,3.0,3.0,unknown,takeaway,2023-04-30
219,TXN_6766492,salad,1.0,5.0,5.0,unknown,unknown,2023-01-14
220,TXN_9879996,coffee,4.0,2.0,8.0,digital wallet,in-store,2023-03-01
221,TXN_4291940,cake,3.0,3.0,9.0,credit card,in-store,2023-11-13
222,TXN_7433461,cookie,2.0,1.0,2.0,digital wallet,unknown,2023-07-09
223,TXN_4068262,salad,2.0,5.0,10.0,credit card,unknown,2023-05-13
225,TXN_5047447,salad,1.0,5.0,5.0,digital wallet,takeaway,2023-12-27
226,TXN_6623508,cookie,5.0,1.0,5.0,digital wallet,takeaway,2023-05-18
227,TXN_2651216,unknown,3.0,4.0,12.0,unknown,unknown,2023-04-04
228,TXN_9350833,cake,1.0,3.0,3.0,cash,takeaway,2023-01-17
229,TXN_8377564,cake,5.0,3.0,15.0,unknown,in-store,2023-07-14
230,TXN_7031118,salad,1.0,5.0,5.0,credit card,unknown,2023-03-29
231,TXN_2230167,cake,4.0,3.0,12.0,digital wallet,takeaway,2023-09-22
232,TXN_6446616,tea,3.0,1.5,4.5,unknown,unknown,2023-09-30
233,TXN_1721827,cake,4.0,3.0,12.0,digital wallet,unknown,2023-08-22
234,TXN_6334895,smoothie,1.0,4.0,4.0,credit card,unknown,2023-07-27
235,TXN_7077119,unknown,1.0,4.0,4.0,digital wallet,in-store,2023-12-30
237,TXN_4700144,coffee,4.0,2.0,8.0,unknown,in-store,2023-12-21
238,TXN_5526852,sandwich,5.0,4.0,20.0,digital wallet,in-store,2023-09-28
239,TXN_6846228,salad,3.0,5.0,15.0,unknown,in-store,2023-11-16
240,TXN_8570890,juice,4.0,3.0,12.0,unknown,unknown,2023-04-14
241,TXN_3205009,unknown,2.0,1.5,3.0,cash,in-store,2023-01-03
242,TXN_3786188,tea,3.0,1.5,4.5,credit card,in-store,2023-10-20
243,TXN_4530804,coffee,4.0,2.0,8.0,unknown,unknown,2023-01-12
244,TXN_9642066,sandwich,3.0,4.0,12.0,credit card,in-store,2023-08-31
245,TXN_7328294,juice,2.0,3.0,6.0,cash,unknown,2023-07-07
247,TXN_9238066,unknown,5.0,1.5,7.5,digital wallet,in-store,2023-09-15
248,TXN_5415901,cake,2.0,3.0,6.0,digital wallet,unknown,2023-10-21
249,TXN_6714420,unknown,2.0,3.0,6.0,credit card,takeaway,2023-03-30
250,TXN_6616971,juice,2.0,3.0,6.0,digital wallet,takeaway,2023-09-02
251,TXN_7803615,salad,3.0,5.0,15.0,cash,in-store,2023-12-13
253,TXN_3544789,tea,4.0,1.5,6.0,unknown,in-store,2023-07-14
254,TXN_1583597,salad,1.0,5.0,5.0,cash,in-store,2023-05-10
255,TXN_8472308,cookie,2.0,1.0,2.0,digital wallet,takeaway,2023-08-19
256,TXN_1967565,smoothie,5.0,4.0,20.0,credit card,takeaway,2023-03-31
257,TXN_2029497,sandwich,2.0,4.0,8.0,cash,takeaway,2023-01-06
258,TXN_8929774,unknown,3.0,3.0,9.0,cash,unknown,2023-10-02
260,TXN_7852990,sandwich,5.0,4.0,20.0,digital wallet,takeaway,2023-07-10
261,TXN_2534066,salad,2.0,5.0,10.0,cash,unknown,2023-10-13
262,TXN_2059647,tea,1.0,1.5,1.5,digital wallet,in-store,2023-05-29
263,TXN_2485183,smoothie,5.0,4.0,20.0,cash,in-store,2023-07-07
264,TXN_7374846,sandwich,1.0,4.0,4.0,credit card,unknown,2023-05-29
265,TXN_9401522,sandwich,4.0,4.0,16.0,digital wallet,in-store,2023-11-16
266,TXN_8250651,sandwich,4.0,4.0,16.0,digital wallet,in-store,2023-03-13
267,TXN_7191245,cake,4.0,3.0,12.0,unknown,takeaway,2023-05-22
268,TXN_8982764,cake,5.0,3.0,15.0,digital wallet,takeaway,2023-11-23
269,TXN_8669422,unknown,4.0,3.0,12.0,cash,takeaway,2023-10-15
270,TXN_1153869,smoothie,5.0,4.0,20.0,credit card,takeaway,2023-11-03
271,TXN_5043774,sandwich,3.0,4.0,12.0,cash,unknown,2023-06-08
272,TXN_1746320,salad,1.0,5.0,5.0,cash,unknown,2023-11-14
273,TXN_1077129,cookie,1.0,1.0,1.0,unknown,in-store,2023-09-12
274,TXN_4865338,sandwich,4.0,4.0,16.0,unknown,in-store,2023-11-26
275,TXN_5616583,smoothie,1.0,4.0,4.0,unknown,unknown,2023-10-13
276,TXN_2078474,cookie,2.0,1.0,2.0,unknown,takeaway,2023-11-03
277,TXN_2130245,smoothie,5.0,4.0,20.0,credit card,unknown,2023-11-13
279,TXN_9076216,cake,1.0,3.0,3.0,cash,unknown,2023-12-17
280,TXN_6371987,tea,5.0,1.5,7.5,unknown,takeaway,2023-03-13
281,TXN_9913877,unknown,2.0,2.0,4.0,credit card,unknown,2023-05-09
282,TXN_2084377,smoothie,1.0,4.0,4.0,credit card,unknown,2023-10-22
283,TXN_1842675,unknown,4.0,1.0,4.0,credit card,takeaway,2023-06-23
284,TXN_8605813,cookie,1.0,1.0,1.0,unknown,unknown,2023-06-30
285,TXN_9755352,sandwich,5.0,4.0,20.0,unknown,in-store,2023-05-13
287,TXN_2305908,coffee,4.0,2.0,8.0,cash,unknown,2023-04-25
288,TXN_6953697,unknown,3.0,4.0,12.0,unknown,takeaway,2023-05-27
289,TXN_3495950,unknown,4.0,1.5,6.0,credit card,in-store,2023-02-19
290,TXN_7557340,tea,5.0,1.5,7.5,credit card,in-store,2023-12-11
291,TXN_1157817,smoothie,1.0,4.0,4.0,digital wallet,in-store,2023-04-25
292,TXN_2020318,tea,3.0,1.5,4.5,digital wallet,in-store,2023-10-12
293,TXN_8692094,coffee,5.0,2.0,10.0,unknown,takeaway,2023-08-30
294,TXN_5307411,cake,3.0,3.0,9.0,digital wallet,takeaway,2023-10-21
295,TXN_9703120,coffee,3.0,2.0,6.0,credit card,unknown,2023-11-02
296,TXN_1289133,juice,1.0,3.0,3.0,cash,unknown,2023-09-19
297,TXN_2031459,cake,3.0,3.0,9.0,cash,takeaway,2023-07-04
298,TXN_1333682,smoothie,1.0,4.0,4.0,digital wallet,unknown,2023-01-28
299,TXN_2256622,cookie,2.0,1.0,2.0,cash,in-store,2023-10-04
301,TXN_4912930,smoothie,3.0,4.0,12.0,credit card,in-store,2023-02-26
302,TXN_4942692,coffee,2.0,2.0,4.0,unknown,takeaway,2023-01-15
303,TXN_3723007,tea,3.0,1.5,4.5,digital wallet,in-store,2023-05-18
304,TXN_7922392,sandwich,3.0,4.0,12.0,unknown,unknown,2023-05-03
305,TXN_7498727,salad,3.0,5.0,15.0,cash,unknown,2023-11-06
306,TXN_1222338,cookie,1.0,1.0,1.0,unknown,in-store,2023-10-11
307,TXN_6878866,smoothie,3.0,4.0,12.0,credit card,unknown,2023-02-25
309,TXN_9223242,smoothie,2.0,4.0,8.0,unknown,unknown,2023-09-10
310,TXN_6244211,smoothie,2.0,4.0,8.0,unknown,unknown,2023-08-11
311,TXN_5446858,unknown,1.0,1.0,1.0,cash,in-store,2023-11-07
312,TXN_4612864,tea,3.0,1.5,4.5,unknown,unknown,2023-02-14
313,TXN_5411381,cookie,1.0,1.0,1.0,unknown,unknown,2023-04-28
314,TXN_3047598,cookie,1.0,1.0,1.0,unknown,unknown,2023-09-06
315,TXN_5754317,coffee,2.0,2.0,4.0,credit card,takeaway,2023-01-10
316,TXN_7496926,sandwich,3.0,4.0,12.0,unknown,in-store,2023-04-23
318,TXN_7559388,salad,4.0,5.0,20.0,digital wallet,takeaway,2023-02-26
319,TXN_8540499,cookie,3.0,1.0,3.0,cash,in-store,2023-01-22
320,TXN_4225756,cookie,3.0,1.0,3.0,unknown,in-store,2023-03-10
321,TXN_6795640,cookie,4.0,1.0,4.0,digital wallet,takeaway,2023-01-28
322,TXN_6702428,coffee,5.0,2.0,10.0,cash,takeaway,2023-08-11
323,TXN_8955259,unknown,2.0,4.0,8.0,credit card,unknown,2023-11-18
324,TXN_4639319,coffee,5.0,2.0,10.0,cash,unknown,2023-01-09
325,TXN_5997803,coffee,5.0,2.0,10.0,unknown,in-store,2023-12-03
326,TXN_1340956,unknown,4.0,2.0,8.0,unknown,unknown,2023-10-26
327,TXN_1259671,sandwich,3.0,4.0,12.0,digital wallet,in-store,2023-10-08
328,TXN_8319993,juice,1.0,3.0,3.0,digital wallet,unknown,2023-08-06
330,TXN_5523450,salad,5.0,5.0,25.0,credit card,takeaway,2023-07-02
331,TXN_7838964,sandwich,3.0,4.0,12.0,credit card,in-store,2023-06-15
332,TXN_2773987,smoothie,5.0,4.0,20.0,unknown,unknown,2023-01-11
333,TXN_1158829,tea,1.0,1.5,1.5,credit card,unknown,2023-10-02
334,TXN_2523298,unknown,4.0,1.5,6.0,unknown,in-store,2023-03-25
335,TXN_8685737,smoothie,2.0,4.0,8.0,unknown,in-store,2023-11-02
336,TXN_5634135,cookie,2.0,1.0,2.0,unknown,unknown,2023-01-27
337,TXN_1524626,smoothie,2.0,4.0,8.0,digital wallet,unknown,2023-12-29
338,TXN_7275407,smoothie,2.0,4.0,8.0,digital wallet,in-store,2023-10-20
339,TXN_2889622,juice,4.0,3.0,12.0,credit card,unknown,2023-11-01
340,TXN_6849113,cookie,1.0,1.0,1.0,credit card,unknown,2023-07-14
341,TXN_2265316,cookie,3.0,1.0,3.0,credit card,in-store,2023-12-29
342,TXN_9472241,salad,3.0,5.0,15.0,cash,takeaway,2023-06-30
343,TXN_7345414,salad,1.0,5.0,5.0,unknown,unknown,2023-02-15
344,TXN_4473352,cake,1.0,3.0,3.0,unknown,in-store,2023-11-16
345,TXN_2814363,tea,2.0,1.5,3.0,unknown,unknown,2023-07-02
346,TXN_1846004,juice,3.0,3.0,9.0,cash,in-store,2023-05-21
347,TXN_7140471,cake,1.0,3.0,3.0,credit card,unknown,2023-05-25
348,TXN_3119542,smoothie,1.0,4.0,4.0,credit card,unknown,2023-10-31
349,TXN_7773968,sandwich,5.0,4.0,20.0,digital wallet,takeaway,2023-02-24
350,TXN_9081088,tea,2.0,1.5,3.0,cash,takeaway,2023-02-27
351,TXN_8559167,sandwich,5.0,4.0,20.0,unknown,takeaway,2023-12-09
352,TXN_1130191,smoothie,2.0,4.0,8.0,cash,in-store,2023-04-06
353,TXN_5215451,sandwich,5.0,4.0,20.0,digital wallet,unknown,2023-11-02
354,TXN_1040764,coffee,3.0,2.0,6.0,cash,takeaway,2023-07-27
355,TXN_5457133,juice,5.0,3.0,15.0,unknown,in-store,2023-03-03
356,TXN_8365478,unknown,3.0,4.0,12.0,cash,takeaway,2023-02-06
357,TXN_2100697,coffee,3.0,2.0,6.0,digital wallet,takeaway,2023-09-19
358,TXN_7676968,smoothie,4.0,4.0,16.0,unknown,in-store,2023-02-21
